donnees,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
id,7,21,15,16,17,18,19,20,31,32,33,34,35,36,89,90,91,92,93,94,95,96,100,101,102,103,104,105,106
time,2026-04-08 08:46:42.987446,2026-04-08 08:46:44.216915,2026-04-08 08:46:43.908763,2026-04-08 08:46:43.908764,2026-04-08 08:46:43.908765,2026-04-08 08:46:43.908765,2026-04-08 08:46:43.908765,2026-04-08 08:46:43.908765,2026-04-08 08:46:44.523658,2026-04-08 08:46:44.523658,2026-04-08 08:46:44.523659,2026-04-08 08:46:44.523659,2026-04-08 08:46:44.523659,2026-04-08 08:46:44.523659,2026-04-08 08:46:46.980976,2026-04-08 08:46:46.980977,2026-04-08 08:46:46.980977,2026-04-08 08:46:46.980977,2026-04-08 08:46:46.980977,2026-04-08 08:46:46.980978,2026-04-08 08:46:46.980978,2026-04-08 08:46:46.980978,2026-04-08 08:46:47.288499,2026-04-08 08:46:47.288499,2026-04-08 08:46:47.288500,2026-04-08 08:46:47.288500,2026-04-08 08:46:47.594176,2026-04-08 08:46:47.594177,2026-04-08 08:46:47.594178
mac_src,9c:05:d6:b0:c5:57,9c:05:d6:b0:c5:57,60:83:e7:67:c2:30,60:83:e7:67:c2:30,60:83:e7:67:c2:30,60:83:e7:67:c2:30,60:83:e7:67:c2:30,60:83:e7:67:c2:30,60:83:e7:67:c2:30,60:83:e7:67:c2:30,60:83:e7:67:c2:30,60:83:e7:67:c2:30,60:83:e7:67:c2:30,60:83:e7:67:c2:30,60:83:e7:67:c2:30,60:83:e7:67:c2:30,60:83:e7:67:c2:30,60:83:e7:67:c2:30,60:83:e7:67:c2:30,60:83:e7:67:c2:30,60:83:e7:67:c2:30,60:83:e7:67:c2:30,60:83:e7:67:c2:30,60:83:e7:67:c2:30,60:83:e7:67:c2:30,60:83:e7:67:c2:30,60:83:e7:67:c2:30,60:83:e7:67:c2:30,60:83:e7:67:c2:30
mac_dst,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff
protocole ARP,IPv4,IPv4,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
source,192.168.10.254,192.168.10.254,192.168.10.149,192.168.10.149,192.168.10.149,192.168.10.149,192.168.10.149,192.168.10.149,192.168.10.149,192.168.10.149,192.168.10.149,192.168.10.149,192.168.10.149,192.168.10.149,192.168.10.149,192.168.10.149,192.168.10.149,192.168.10.149,192.168.10.149,192.168.10.149,192.168.10.149,192.168.10.149,192.168.10.149,192.168.10.149,192.168.10.149,192.168.10.149,192.168.10.149,192.168.10.149,192.168.10.149
destination,192.168.10.149,192.168.10.149,192.168.10.255,255.255.255.255,192.168.10.255,255.255.255.255,192.168.10.255,255.255.255.255,192.168.10.255,255.255.255.255,255.255.255.255,255.255.255.255,192.168.10.255,255.255.255.255,192.168.10.255,255.255.255.255,192.168.10.255,255.255.255.255,255.255.255.255,255.255.255.255,192.168.10.255,255.255.255.255,192.168.10.255,255.255.255.255,255.255.255.255,255.255.255.255,255.255.255.255,255.255.255.255,192.168.10.255
ni IP ni ARP,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
protocole IP,None,None,UDP,UDP,UDP,UDP,UDP,UDP,UDP,UDP,UDP,UDP,UDP,UDP,UDP,UDP,UDP,UDP,UDP,UDP,UDP,UDP,UDP,UDP,UDP,UDP,UDP,UDP,UDP
ttl,None,None,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
port_src,None,None,64174,64175,64176,10004,64172,10004,55491,55492,55490,10004,55493,10004,64172,64171,64174,64175,64173,10004,64176,10004,55489,55488,10004,10004,55490,55492,55493
port_dst,None,None,22222,3289,3289,10004,22222,10004,22222,3289,22222,10004,3289,10004,22222,22222,22222,3289,22222,10004,3289,10004,22222,22222,10004,10004,22222,3289,3289
